analysis_id,analysis
46,Evaluated by comparing climate predictions to actual happened events.
47,Evaluated by human testers on generalization capabilities and responses compared to other chatbots.
48,"Evaluated by human testers rating alignment of text input, image output pairs."
49,"Evaluated in 1-shot against the PaLM models, with the tasks of the paper ""Language models are few-shot learners"" (Brown et al., 2020); (2) on a small set of few-shot tasks reported by the GPT-4 paper; (3) against state-of-the-art models across common sense, question answering, and code tasks; (4) against models which also report results from the EAI Harness, for which we are able to compare with identical prompts and metrics."
50,Evaluated in comparison to CLIP.
51,Evaluated in comparison to Flamingo and OpenFlamingo on standard benchmarks.
52,"Evaluated in comparison to LLaMA 2 and MPT Instruct, and outperforms both on standard benchmarks."
53,Evaluated in comparison to LLaMA series models on standard benchmarks.
54,Evaluated in comparison to LLaMA series models on standard language benchmarks.
55,Evaluated in comparison to SOTA video-to-language models.
56,"Evaluated in comparison to the MusicCaps dataset and with respect to n-gram, neural metrics."
57,Evaluated in comparison with ChatGPT and Stanford Alpaca.
58,Evaluated models trained on The Stack on HumanEval and MBPP and compared against similarly-sized models.
59,Evaluated on AlpacaEval Leaderboard benchmarks.
60,Evaluated on AlpacaEval benchmark against SOTA LLMs.
61,Evaluated on COCO captioning and VQAv2 vision-language tasks.
62,Evaluated on EleutherAI evaluation harness.
63,Evaluated on English and Chinese language benchmarks.
64,"Evaluated on English and Korean benchmarks in comparison to open source English and multilingual LLMs, with HyperCLOVA X (closed) surpassing the models compared."
65,"Evaluated on English and coding tasks and benchmarks, and outperforms LLaMA 2 in some."
66,Evaluated on Frechet Audio Distance and Kullback-Leibler Divergence as well as qualitative studies with human participants.
67,"Evaluated on GLUE, SQuAD 2.0, and CoQA benchmarks."
68,Evaluated on GSM8K and the competition-level MATH dataset.
69,"Evaluated on MATH, a competition-level dataset, and achieves a 46% accuracy, higher than accuracy produced by GPT-4's chain of thought."
70,"Evaluated on MMLU, C-Eval, GSM8K, MATH, HumanEval, etc."
71,"Evaluated on MMLU, GSM8K, HumanEval, and GPQA benchmarks, among others."
72,Evaluated on MT-Bench and AlpacaEval. compared to other chatbots.
73,Evaluated on MT-Bench and AlphaEval benchmarks.
74,Evaluated on MultiMedBench tasks and radiologist evaluations of model-generated chest X-ray reports
75,Evaluated on MultiPL-E system benchmarks.
76,Evaluated on OpenLLM leaderboard.
77,"Evaluated on SWE-Bench, a challenging software engineering benchmark, where Devin outperforms major state of the art models unassisted."
78,Evaluated on TruthfulQA as main evaluation benchmark.
79,"Evaluated on a comprehensive range of tasks, including visual question answering, image captioning, text generation, image generation, and long-form mixed modal generation. Chameleon demonstrates broad and general capabilities, including state-of-the-art performance in image captioning tasks, outperforms Llama-2 in text-only tasks while being competitive with models such as Mixtral 8x7B and Gemini-Pro."
80,"Evaluated on a digital pathology benchmark comprising 9 cancer subtyping tasks and 17 pathomics tasks, with Prov-GigaPath demonstrating SoTA performance in 25 out of 26 tasks."
81,Evaluated on a range of benchmarks and performed on par with LLaMA-7B.
82,"Evaluated on a range of standardized vision benchmarks, and achieves state of the art performance on all experimentally."
83,Evaluated on a variety of NLP benchmarks and found to perform similarly to OPT and BLOOM models.
84,Evaluated on a variety of standard language datasets.
85,"Evaluated on all language datasets compared to similarly sized SOTA models, with Aurora-M achieving strong performance in most."
86,Evaluated on benchmark music understanding tasks on SOTA music datasets.
87,"Evaluated on benchmarks pertaining to speech, music, and other audio recognition."
88,"Evaluated on code generation, code completion, cross-file code completion, and program-based math reasoning across standard benchmarks."
89,"Evaluated on code retrieval and data retrieval capabilities, with improvements compared to the standard in both."
90,Evaluated on common LLM benchmarks in comparison to other Mistral derivatives.
91,Evaluated on common LLM benchmarks.
92,Evaluated on common sense and world knowledge benchmarks.
93,"Evaluated on common sense reasoning, language understanding, and multi-step reasoning compared to other SOTA language models."
94,Evaluated on commonly used benchmarks in comparison to the current LLM leaders.
95,Evaluated on evaluation trajectories and SoTA baselines using robotic data.
96,"Evaluated on four prominent code generation benchmarks HumanEval, HumanEval+, MBPP, and DS100."
97,Evaluated on human and machine benchmarks in comparison to established image models as a baseline.
98,Evaluated on image captioning and visual question answering across many benchmarks.
99,Evaluated on image captioning and visual question answering benchmarks.
100,Evaluated on image generation benchmarks in comparison to equal and smaller-sized models.
101,"Evaluated on in-distribution robotics skills, and outperforms its predecessor RT-1 by 50% in emergent skill evaluations."
102,"Evaluated on in-distribution robotics skills, and outperforms its predecessor RT-2 by 3x in emergent skill evaluations."
103,"Evaluated on in-house benchmark, FIN-bench, adapted from BIG-bench for Finnish."
104,"Evaluated on loss, rewards, logps, and logits rejected and chosen."
105,Evaluated on math benchmarks in comparison to general large language models.
106,Evaluated on multilingual and NLP benchmarks in comparison with SoTA models of comparable size.
107,Evaluated on nascent time-series datasets and benchmarks.
108,Evaluated on objective and reliability metrics.
109,Evaluated on open source multilingual model benchmarks.
110,"Evaluated on open-ended conversation accuracy and long context question answering. In evaluations, Claude 2.1 demonstrated a 30% reduction in incorrect answers and a 3-4x lower rate of mistakenly concluding a document supports a particular claim."
111,Evaluated on open-sourced general benchmarks in comparison to SotA LLMs.
112,Evaluated on own framework that tests domain-specific tasks in medical field.
113,Evaluated on popular time-series benchmarks.
114,Evaluated on previously unseen time series datasets.
115,"Evaluated on public benchmarks like MMLU, CMMLU, GSM8K, and HumanEval."
116,"Evaluated on reasoning, math, coding, reading comprehension, and question answering, outperforming GPT-4 on standard benchmarks."
117,Evaluated on relatively simple established benchmarks.
118,Evaluated on researcher experiments to test deeper understanding and advanced commonsense reasoning
119,Evaluated on several benchmark LLM tasks
120,Evaluated on several code benchmarks like HumanEval and MBPP.
121,Evaluated on several popular benchmarks and performance in different fields.
122,"Evaluated on several standard benchmarks (e.g. ARC, BoolQ, HellaSwag, RTE, Winogrande)"
123,Evaluated on standard English LLM benchmarks and adapted Arabic LLM benchmarks.
124,Evaluated on standard LLM and multilingual benchmarks in comparison to SotA models.
125,"Evaluated on standard LLM and technical benchmarks in comparison to Inflection-1 and GPT-4, along with advanced STEM examinations."
126,"Evaluated on standard LLM benchmarks across a range of fields like reasoning, code generation, and mathematical skills."
127,Evaluated on standard LLM benchmarks and in multilingual tasks compared to similarly sized open-source models.
128,Evaluated on standard LLM benchmarks in comparison to similar-sized models.
129,"Evaluated on standard LLM tasks and benchmarks in comparison to LLaMA, Falcon, and MPT, in addition to other same-sized models."
130,Evaluated on standard VLM benchmarks and outperforms SotA open-source VLMs as of release.
131,Evaluated on standard academic benchmarks and internal Meta libraries.
132,Evaluated on standard and ocean science benchmarks in comparison to other similar-sized models.
133,Evaluated on standard benchmarks across a range of tasks.
134,"Evaluated on standard benchmarks for knowledge and language understanding, mathematical reasoning, and programming ability in comparison to similarly sized open-source models."
135,Evaluated on standard benchmarks in comparison to other German language models.
136,"Evaluated on standard benchmarks including MMLU, CEval, and DROP."
137,"Evaluated on standard datasets in multilingual, cross-lingual, long document retrieval, and Q&A domains."
138,"Evaluated on standard general, reasoning, math, coding, and multimodal benchmarks with results that surpass GPT-4 on almost all."
139,Evaluated on standard image processing benchmarks
140,Evaluated on standard image understanding benchmarks.
141,"Evaluated on standard language benchmarks, common sense reasoning, and reading comprehension in comparison to SoTA LLMs."
142,Evaluated on test set of actions in comparison to SoTA image editing models.
143,Evaluated on text and code benchmarks in comparison to other models.
144,Evaluated on the COCO dataset.
145,"Evaluated on the LLM360 Performance and Evaluation Collection that checks standard best practice benchmarks, medical, math, and coding knowledge."
146,"Evaluated on the MMLU, GSM8K, MATH, and HumanEval benchmarks. According to these benchmarks, Fuyu-Heavy is, as of release, the strongest multimodal model trained outside of Google or OpenAI."
147,Evaluated on the OKVQA benchmark as a fully open-ended generative task.
148,"Evaluated on the OpenLLM benchmarks and, on release, outperforms all other 7B models on the OpenLLM Leaderboard."
149,"Evaluated on the OpenLLM leaderboard, performing on par with similar-sized models."
150,"Evaluated on the OpenLLM leaderboard, releasing at rank number 4 on the leaderboard."
151,Evaluated on the SuperGLUE benchmark
152,Evaluated on the dimensions proposed by OpenCompass in comparison to other LLMs.
153,Evaluated on the object hallucination benchmark and compared to GPT-4V.
154,"Evaluated on three physical control tasks, drawing, steering, and human body movement on various dynamics"
155,"Evaluated on wide range of language benchmarks like MMLU 5-shot, GSM-8K, and HellaSwag 10-shot among others."
156,Evaluated on wide range of tasks using own evaluation benchmarks.
157,Evaluated on zero-shot classification performance across multiple image classification benchmarks.
158,"Evaluated on zero-shot text-to-speech benchmarks, with Voicebox outperforming the current state-of-the-art English model VALL-E."
159,Evaluated using AST sub-tree matching technique and compared to other models in terms of API functionality accuracy.
160,Evaluated using only out-of-distribution image prompts for qualitative results.
161,Evaluated via a user study comparing preferences between Stable Video Diffusion and competing text-to-video models.
162,Evaluated via qualitative comparison relative to other SoTA image generation models.
163,"Evaluated with human feedback on helpfulness, harmfulness, and honesty and on the Bias Benchmark for QA."
164,Evaluation was conducted on standard LLM benchmarks and includes internal red-teaming testing of relevant content policies.
165,Evaluations in paper are primarily considering the fidelity and novelty of samples from Jukebox.
166,"Extensive testing on Multilingual Librispeech dataset resulted in 20% lower validation perplexity. In downstream evaluations, this leads to a 2x lower word error rate and a 1 point higher quality score. Sonic also displays impressive performance metrics at inference, achieving lower latency (1.5x lower time-to-first-audio), faster inference speed (2x lower real-time factor), and higher throughput (4x)."
167,"FLAVA is benchmarked on a range of vision-only (e.g. CIFAR-10), language-only (e.g. GLUE), and multimodal (e.g. Hateful Memes) standard evaluations."
168,FLD-5B evaluated in comparison to datasets that power other large-scale image models on standard image benchmarks.
169,"Falcon-180B outperforms LLaMA-2, StableLM, RedPajama, MPT on the Open LLM Leaderboard at https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard."
170,Grok-1 was evaluated on a range of reasoning benchmark tasks and on curated foreign mathematic examination questions.
171,"In order to evaluate the accuracy and robustness of Conformer-1, we sourced 60+ hours of human labeled audio data covering popular speech domains such as call centers, podcasts, broadcasts, and webinars. We then calculated the Word Error Rate (WER) of Conformer-1 against these datasets, and compared the results against Whisper and a number of other ASR models. To ground our results against popular open source speech recognition benchmarks, we also performed the same WER analysis against a number of academic datasets."
172,Jamba outperforms or matches other state-of-the-art models in its size class on a wide range of benchmarks.
173,Large Video Dataset compared to publicly available research datasets on general statistics before and after filtering.
174,LlongOrca evaluated on BigBench-Hard and AGIEval results.
175,"Mainly evaluated on MT-Bench and AlpacaEval, which are GPT-4-based comparisons."
176,"Marengo-2.6 sets new benchmarks in zero-shot text-to-video, text-to-image, and text-to-audio retrieval tasks with a single embedding model."
177,"MassiveText data was analyzed for toxicity, language distribution, URL breakdown, and tokenizer compression rates on the subsets [[Section A.2]](https://arxiv.org/pdf/2112.11446.pdf#subsection.A.2).
"
178,Mistral model fine-tuned on AutoMathText and evaluated on the MATH dataset.
179,Model evaluated on a suite of short-context task benchmarks.
180,"Model evaluated over AlpacaEval, Rouge score over BookSum, and accuracy over MQA."
181,"Model performance was evaluated and analyzed on 152 NLP tasks including: Language Modelling (20), Reading Comprehension (3), Fact Checking (3), Question Answering (3), Common Sense (4), MMLU (57), BIG-bench (62) [[Section 4]](https://arxiv.org/pdf/2112.11446.pdf#section.4); on toxicity and bias datasets [[Section 5]](https://arxiv.org/pdf/2112.11446.pdf#section.5); and on dialogue tasks [[Section 6]](https://arxiv.org/pdf/2112.11446.pdf#section.6).
"
182,"Model performance was evaluated and analyzed on many NLP tasks including language modeling, reading comprehension, question answering, commonsense-intensive tasks, and the BIG-Bench and MMLU meta-benchmarks.
"
183,"Model performance was evaluated on image and video datasets primarily, including dialogue.
"
184,"Model performance was evaluated on simulated and robotics task primarily, including out-of-distribution and skill generalization.
"
185,"Model performance was evaluated using automated (Frechet Video Distance; Frechet Inception Distance) and human evaluation on two datasets (UCF-101, MSR-VTT) in the zero-shot setting.
"
186,Models fine-tuned on EXMODD and earlier dataset Image-Chat and then evaluated on Image-Chat validation set.
187,Models of size 150k parameters trained on ToyMix and compared to models trained on its dependencies across GNN baselines.
188,Models of size between 4M and 6M parameters trained for 200 epochs on LargeMix and compared to models trained on its dependencies across GNN baselines.
189,Models of size between 4M and 6M parameters trained for 50 epochs on UltraLarge and compared to models trained on its dependencies across GNN baselines.
190,Models trained on OpenOrca compared to GPT-series on language benchmarks.
191,Models trained with dataset evaluated on downstream performance.
192,Moirai has undergone a comprehensive evaluation in both in-distribution and out-of-distribution settings. It demonstrated its capabilities as a zero-shot forecaster and delivered competitive or superior performance compared to full-shot models.
193,"MusicGen was evaluated on standard music benchmarks of Frechet Audio Distance, Kullback-Leibler Divergence, and its CLAP score."
194,Orca 2 has been evaluated on a large number of tasks ranging from reasoning to grounding and safety.
195,Outperforms GPT-4 in common sense and reasoning tasks on the basis of both efficiency and accuracy.
196,"PEER is evaluated on core research questions intended to gauge language understanding, proper use of citations, instruction following, and iterative use."
197,"Performance assessed on BIG-bench arithmetic sub-task, and various elementary arithmetic tasks."
198,Performance evaluated on English and Chinese language benchmark tests.
199,"Performance of Codestral is evaluated in Python, SQL, and additional languages, C++, bash, Java, PHP, Typescript, and C#. Fill-in-the-middle performance is assessed using HumanEval pass@1 in Python, JavaScript, and Java."
200,Platypus achieves the strongest performance and currently stands at first place in HuggingFace’s Open LLM Leaderboard as of its release date.
201,"RakutenAI achieves the highest average score in both Japanese and English LM-Harness metrics, outperforming other similarly-sized Japanese language models."
202,Randomly chosen models trained on UltraFeedback evaluated across standard benchmarks.
203,"Randomly sampled dialogues from dataset are evaluated according to six established criteria of natural flow, context dependence, topic consistency, speaker consistency, specificity, and overall."
204,"Reka Core was evaluated against leading models such as OpenAIs GPT-4, Claude-3 Opus, and Gemini Ultra on a variety of tasks and metrics including multimodal and human evaluation conducted by a third party. It was found to be competitive or even surpassing these models."
205,Reports results on standard LLM benchmarks in comparison to other LLMs and test sets.
206,Reports results on standard code benchmarks across a variety of programming languages.
207,Reports results on standard translation benchmarks across 102 languages in comparison with Google Translate and ChatGPT
208,Reports results on the Vicuna benchmark and compares performance level and time expenditure with ChatGPT
209,See https://arxiv.org/pdf/2402.19173.pdf
210,See the paper.
211,Some seed samples were used in different prompt styles and audiences. Less than 1% of files are duplicates after running MinHash deduplication. Contaminated samples were removed from each dataset split.
212,Subset of training dataset evaluated for bias using Data Measurements Tool.
213,"Tested on several benchmarks, most notably Python benchmark HumanEval."
214,"The FuseChat model was evaluated on MT-Bench which comprises 80 multi-turn dialogues spanning writing, roleplay, reasoning, math, coding, stem, and humanities domains. It yields an average performance of 66.52 with specific scores for individual domains available in the leaderboard results."
215,"The GPT-3 model was evaluated on language modeling, closed-book question answering, translation, Winograd-style tasks, commonsense reasoning, reading comprehension, SuperGLUE, NLI, synthetic tasks, and generation [[Section 4]](https://arxiv.org/pdf/2005.14165.pdf#section.4); as well as on fairness and biases [[Section 6]](https://arxiv.org/pdf/2005.14165.pdf#section.6).
"
216,"The GPT-3 paper, which also introduces the GPT-3 dataset, provides a limited analysis on the GPT-3 dataset, reporting the dirtiness of the dataset after the it was filtered for text occurring in common benchmarking tasks. The authors report that ""as the dataset becomes more contaminated, the variance of the clean over all fraction increases, but there is no apparent bias towards improved or degraded performance"" [[Appendix C]](https://arxiv.org/pdf/2005.14165.pdf#appendix.C)."
217,"The Gato dataset compiles many datasets introduced in prior works, with associated analyses.
"
218,"The Whisper paper provides limited details on preprocessing.
"
219,"The authors analyzed the impact of the dataset mixture on the preference models (PM). In addition to human evaluation, RLHF model were evaluated on MMLU, Lambada, HellaSwag, OpenBookQA, ARC-Easy, ARC-Challenge, TriviaQA, code generation, summarization.
"
220,"The authors found that the crowdworkers didn't exhaustively check for honesty in the model answers they preferred [[Section 2.1]](https://arxiv.org/pdf/2204.05862.pdf#subsection.2.1).
"
221,"The authors found that the dataset contained 21% of the images in the MS-COCO validation set, but observed no significant changes in the performance of the accompanying DALL·E when tested on MS-COCO evaluation set with and without the said images [[Section 3.1]](https://arxiv.org/pdf/2102.12092.pdf#subsection.3.1)."
222,"The crowdworkers were told that ""lying isn't helpful"" and asked to prefer honest responses, which led to models with higher honesty scores. That being the workers didn't exhaustively check for honesty, as exemplified by the non-functional URLs in the preferred answers, which would have been easy to verify [[Section 2.1]](https://arxiv.org/pdf/2204.05862.pdf#subsection.2.1).
"
223,"The dataset contained some overlap with the test sets of the benchmarks used for evaluation, but the authors determined the impact to be small: ""There is a median overlap of 2.2% and an average overlap of 3.2%. Due to this small amount of overlap, overall accuracy is rarely shifted by more than 0.1% with only 7 datasets above this threshold"" [[Section 5]](https://arxiv.org/pdf/2103.00020.pdf#section.5).
"
224,"The dataset is benchmarked against CC3M on two most fundamental V+L tasks: vision-to-language generation and vision-and-language matching, with an emphasis on long-tail visual recognition. The results illustrate the benefit of scaling up pre-training data for vision-and-language tasks, as indicated by the new state-of-the-art results on both the nocaps and Conceptual Captions benchmarks.
"
225,"The model has been evaluated against benchmarks that test common sense, language understanding, mathematics, coding, long-term context, and logical reasoning. The Phi-3 Medium-128K-Instruct demonstrated robust and state-of-the-art performance."
226,The model is capable of generating explicit content and the researchers found limited amount of spurious content generated.
227,The model is capable of generating explicit content and the researchers found limited amount of spurious content generated. The researchers also found that visual synonyms can be used to prompt the model to surface unwanted generations [[Probes and Evaluations]] (https://github.com/openai/dalle-2-preview/blob/main/system-card.md#probes-and-evaluations).
228,"The model is evaluated in a zero-shot setting without chain-of-thought prompting. The evaluation domains include multi-disciplinary reasoning, understanding documents, science diagrams, charts, screenshots, photographs and real-world spatial understanding. The model shows competitive performance with existing frontier multimodal models."
229,"The model performance was analyzed on sensibleness, specificity and interestingness. The model was also analyzed on safety, following metrics derived from Google AI Principles [[Appendix A.1]](https://arxiv.org/pdf/2201.08239.pdf#subsection.A.1). Finally, the model was analyzed on groundedness, testing its ability to produce responses that can be associated with ""known sources whenever possible [[Section 4.1]](https://arxiv.org/pdf/2201.08239.pdf#subsection.4.1).""
"
230,The model was compared with SOTAs and has shown good performance in generating high-quality human images.
231,The model was comprehensively benchmarked across 12 tests covering five tasks. Eurus achieved the best overall performance among open-source models of similar sizes and even outperformed specialized models in many cases.
232,"The model was evaluated against three prior approaches, AttnGAN, DM-GAN, and DF-GAN using Inception Score and Fréchet Inception Distance on MS-COCO as metrics. The model was also evaluated by humans and received the majority of the votes in generating images that look realistic and better match the caption when compared to the images generated by DF-GAN [[Section]](https://arxiv.org/pdf/2102.12092.pdf#section.3).
"
233,"The model was evaluated for zero-shot English and multingual speech recognition, translation, language identification and robustness to noise."
234,"The model was evaluated on 3 benchmarks (MMLU for English, M3Exam (M3e) for English, Chinese, Vietnamese, Indonesian, and Thai, and VMLU for Vietnamese) and it outperformed GPT-3 and Vistral-7B-chat models across these benchmarks in the given languages."
235,"The model was evaluated on human ratings to the InstructGPT answers to the prompts submitted to the OpenAI API as well as on public NLP datasets spanning truthfulness, toxicity, and bias, question answering, reading comprehension, and summarization tasks."
236,"The model was evaluated on standard NLP benchmarks: LAMBADA, ANLI, HellaSwag, MMLU among others [[Section 4]](http://eaidata.bmk.sh/data/GPT_NeoX_20B.pdf#section.4).
"
237,"The model was evaluated on standard vision datasets (e.g. CIFAR10, ImageNet) and showed robust state of the art results."
238,The model was evaluated on the HELM benchmark as discussed in https://www.ai21.com/blog/introducing-j2.
239,"The model was evaluated on various benchmarks like General MMLU, Code Natural2Code, MATH, GPQA, Big-Bench, WMT23, MMMU, and MathVista providing performance across various domains like multilingual translation, image processing, and code generation."
240,"The model was evaluated using the HumanEval dataset with pass@k metric and BLEU scores [[Section 2]](https://arxiv.org/pdf/2107.03374.pdf#section.2).
"
241,"The model was examined across a range of benchmarks including GPT4All, AGIEval, BigBench, TruthfulQA and in-house evaluations of function calling and JSON mode."
242,"The model was tested and evaluated on various prompts to assess its understanding of natural language, its ability to generate high-quality images in various formats and styles and generate fine details and complex textures. Red teaming and evaluations were conducted on topics including fairness, bias, and content safety."
243,"The model's performance was analyzed on Hellaswag and COPA, as well as several safety benchmarks [[Model Card]](https://docs.cohere.ai/generation-card)."
244,"The model's performance was analyzed on several safety benchmarks [[Model Card]](https://docs.cohere.ai/representation-card).
"
245,"The models were evaluated based on their performance on standard benchmarks and real-world scenarios. These evaluations were performed using a high-quality human evaluation set containing 1,800 prompts covering multiple use cases. The models also went through red-teaming for safety, where human experts and automated methods were used to generate adversarial prompts to test for problematic responses."
246,"The models were evaluated in terms of zero-shot, LLM360, and OpenLLM leaderboard results."
247,"The models were evaluated on SuperGLUE, CodeXGLUE, as well as MMLU and Bigbench Hard. Comparisons were made with T5v1.1 and found that Pile-T5 models performed better in most conditions."
248,The performance of Idefics2 has been evaluated on numerous benchmarks. It is top of its class size and competes with much larger models such as LLava-Next-34B and MM1-30B-chat.
249,UFOGen is evaluated on standard image benchmarks against other models fine-tuned with Stable Diffusion.
250,UltraLM evaluated off of UltraChat is evaluated on standard LLM benchmarks.
251,"When evaluated on standard performance benchmarks, achieves similar levels of performance to GPT-4 Turbo."
252,"Yi-VL outperforms all existing open-source models in MMMU and CMMMU, two advanced benchmarks that include massive multi-discipline multimodal questions (based on data available up to January 2024)."
253,"evaluated on DSTC11 Challenge Task, based on MultiWoz 2.1, with a focus on dialog state tracking."
254,https://arxiv.org/abs/2104.08758
255,https://huggingface.co/bigscience/bloomz#evaluation
256,https://huggingface.co/spaces/bigscience-data/roots-search
257,https://huggingface.co/t5-base#evaluation
258,outperforms majority of preceding state-of-the-art models over 15 unique biomedical modalities.
259,unknown
