name,description,datasheet,sample,analysis,included,excluded,quality_control,license,intended_uses,prohibited_uses,monitoring,feedback,training_emissions,training_time,training_hardware,adaptation,output_space,terms_of_service,monthly_active_users,user_distribution,failures,type_id,organization_id,created_date_id,link_type_id,modality_id,size_id,dependencies_id,access_id,model_type_id
Auto-GPT,Auto-GPT is an experimental open-source application showcasing the capabilities of the GPT-4 language model.,,,,,,,MIT,,,,,,,,"GPT-4 adapted to run autonomously by chaining together LLM ""thoughts""",text,,,,,0,13,149,3,-1,-1,91,2,4
Bark,Bark is a text-to-audio model that can generate multilingual speech as well as other noises.,,,,,,,MIT,,,,https://huggingface.co/spaces/suno/bark/discussions,unknown,unknown,,,,,,,,2,163,150,1,48,-1,12,2,1
ChatGPT powered by OBO,"Give your sales, marketing, and customer service teams one of the most powerful AI tools available - ChatGPT priority access, no timeout limits, company wide access managed through a single account, incorporate into your existing processes without leaving HubSpot",,,,,,,unknown,,,,,,,,,,,,,,0,69,116,3,-1,-1,34,1,4
GPT-JT,,,,,,,,Apache 2.0,,,,,,,,,,,,,,2,166,101,0,62,169,98,2,4
GPT-NeoXT-Chat-Base,,,,,,,,Apache 2.0,,,,,,,,,,,,,,2,166,135,0,62,78,101,2,4
OpenChatKit moderation model,,,,,,,,Apache 2.0,,,,,,,,,,,,,,2,166,135,0,62,169,99,2,4
OIG-43M,,,[],,,,,Apache 2.0,,,,,,,,,,,,,,1,167,135,0,37,137,200,2,4
OIG-moderation,,,[],,,,,Apache 2.0,,,,,,,,,,,,,,1,167,135,0,37,198,302,2,4
RedPajama-Data,The RedPajama base dataset is a 1.2 trillion token fully-open dataset created by following the recipe described in the LLaMA paper,https://huggingface.co/datasets/togethercomputer/RedPajama-Data-1T,[],,,,,Apache 2.0,,,,,,,,,,,,,,1,166,57,0,37,1,107,2,4
Llama-2-7B-32K-Instruct,"Llama-2-7B-32K-Instruct is an open-source, long-context chat model finetuned from Llama-2-7B-32K, over high-quality instruction and chat data.",,,"Model evaluated over AlpacaEval, Rouge score over BookSum, and accuracy over MQA.",,,,LLaMA 2,,,,https://huggingface.co/togethercomputer/Llama-2-7B-32K-Instruct/discussions,,,,,,,,,,2,166,192,0,62,186,19,2,3
RedPajama-Data-v2,"RedPajama-Data-v2 is a new version of the RedPajama dataset, with 30 trillion filtered and deduplicated tokens (100+ trillions raw) from 84 CommonCrawl dumps covering 5 languages, along with 40+ pre-computed data quality annotations that can be used for further filtering and weighting.",,[],,"documents in English, German, French, Spanish, and Italian.",,tokens filtered and deduplicated,Apache 2.0,"To be used as the start of a larger, community-driven development of large-scale datasets for LLMs.",,,Feedback can be sent to Together via https://www.together.ai/contact,,,,,,,,,,1,166,225,0,37,104,49,2,4
StripedHyena,"StripedHyena is an LLM and the first alternative model competitive with the best open-source Transformers in short and long-context evaluations, according to Together.",,,Model evaluated on a suite of short-context task benchmarks.,,,,Apache 2.0,,,,https://huggingface.co/togethercomputer/StripedHyena-Hessian-7B/discussions,unknown,unknown,unknown,,,,,,,2,166,245,0,62,186,114,2,3
StripedHyena Nous,"StripedHyena Nous is an LLM and chatbot, along with the first alternative model competitive with the best open-source Transformers in short and long-context evaluations, according to Together.",,,Model evaluated on a suite of short-context task benchmarks.,,,,Apache 2.0,,,,https://huggingface.co/togethercomputer/StripedHyena-Nous-7B/discussions,unknown,unknown,unknown,,,,,,,2,166,245,0,62,186,114,2,3
MediTron,Meditron is a large-scale medical LLM that remains open-source.,,,Evaluated on TruthfulQA as main evaluation benchmark.,,,,LLaMA 2,"Medical exam question answering, supporting differential diagnosis, disease information.",,,https://huggingface.co/epfl-llm/meditron-7b/discussions,unknown,unknown,unknown,,,,,,,2,57,240,4,62,173,302,2,3
XVERSE,XVERSE is a multilingual large language model for over 40 languages.,,,Evaluated across a range of standard datasets regarding multiple model capabilities like language comprehension and logical reasoning.,,,,custom,,,unknown,https://huggingface.co/xverse/XVERSE-65B/discussions,unknown,unknown,unknown,,,,,,,2,185,231,1,62,165,302,2,3
Otter,"Otter is a multi-modal model based on OpenFlamingo (open-sourced version of DeepMind’s Flamingo), trained on MIMIC-IT and showcasing improved instruction-following ability and in-context learning.",,,Evaluated on researcher experiments to test deeper understanding and advanced commonsense reasoning,,,,MIT,Following and executing new instructions with few in-context learning examples given image and textual input.,,,,,,4 RTX-3090 GPUs,,,,,,,2,110,156,4,28,5,161,2,1
EXMODD,EXMODD (Explanatory Multimodal Open-Domain Dialogue dataset) is a dataset built off the proposed MDCF (Multimodal Data Construction Framework).,,[],Models fine-tuned on EXMODD and earlier dataset Image-Chat and then evaluated on Image-Chat validation set.,,,,MIT,,,,Feedback can be sent to authors via poplpr@bit.edu.cn,,,,,,,,,,1,23,217,4,19,198,280,2,4
MiniMA,MiniMA is a smaller finetuned Llama 2 model adapted for Chinese.,,,"Evaluated on standard benchmarks including MMLU, CEval, and DROP.",,,,Llama 2,,,unknokwn,https://huggingface.co/GeneZC/MiniMA-3B/discussions,unknown,unknown,8 A100 80G GPUs,,,,,,,2,23,234,1,62,125,157,2,3
ChatGLM,"ChatGLM is a Chinese-English language model with question and answer and dialogue functions, and is aimed at a Chinese audience.",,,Performance evaluated on English and Chinese language benchmark tests.,,,,Apache 2.0,,,,,unknown,unknown,,,,,,,,2,38,137,0,62,169,302,2,4
OpenFold,OpenFold is an open source recreation of AlphaFold2.,,,Evaluated on wide range of tasks using own evaluation benchmarks.,,,,CC BY 4.0,,,,,unknown,"50,000 GPU hours",Single A100 NVIDIA GPU,,,,,,,2,44,99,3,1,-1,5,2,4
Ferret,Ferret is a Multimodal Large Language Model (MLLM) capable of understanding spatial referring of any shape or granularity within an image and accurately grounding open-vocabulary descriptions.,,,Evaluated on the object hallucination benchmark and compared to GPT-4V.,,,,Apple,,,,,unknown,2.5 to 5 days,8 A100 GPUs,,,,,,,2,45,215,4,25,38,27,2,4
Guanaco,"Guanaco is a model family trained with QLORA, an efficient finetuning approach that reduces memory usage enough to finetune a 65B parameter model on a single 48GB GPU while preserving full 16-bit finetuning task performance.",,,Reports results on the Vicuna benchmark and compares performance level and time expenditure with ChatGPT,,,,MIT,,,,,,,A single 24 GB GPU,,,,,,,2,178,161,4,62,112,218,2,4
Llark,Llark is an instruction-tuned multimodal model for music understanding.,,,Evaluated on benchmark music understanding tasks on SOTA music datasets.,,,,Apache 2.0,,,,,unknown,54 hours,4 80GB NVIDIA A40 GPUs,,,,,,,2,179,215,4,8,31,136,2,4
InternLM,"InternLM is an LLM pre-trained on over 2.3T Tokens containing high-quality English, Chinese, and code data.",,,Evaluated on the dimensions proposed by OpenCompass in comparison to other LLMs.,,,,Apache 2.0,,,unknown,https://huggingface.co/internlm/internlm-20b/discussions,unknown,unknown,unknown,,,,,,,2,78,204,1,62,186,302,2,3
BioMistral,"BioMistral is an open-source Large Language Model tailored for the biomedical domain, utilizing Mistral as its foundation model and further pre-trained on PubMed Central.",,,BioMistral was evaluated on a benchmark comprising 10 established medical question-answering (QA) tasks in English and seven other languages.,,,,Apache 2.0,"Research in the biomedical domain, especially for medical question-answering tasks.",Prohibited from deploying in production environments for natural language generation or any professional health and medical purposes.,,https://huggingface.co/BioMistral/BioMistral-7B/discussions,unknown,unknown,32 NVIDIA A100 80GB GPUs,,,,,,,2,14,269,4,62,186,173,2,3
Khanmigo,An AI-powered assistant that functions as both a virtual tutor for students and a classroom assistant for teachers.,,,,,,,unknown,,,,,,,,,,,,,,0,83,137,3,-1,-1,91,1,4
GAIA-1,"GAIA-1 (‘Generative AI for Autonomy’) is a generative world model that leverages video, text, and action inputs to generate realistic driving scenarios while offering fine-grained control over ego-vehicle behavior and scene features.",,,Compared to self before being scaled on quality of video generation.,,,,unknown,"The main use cases are pure representation learning, planning (look-ahead search), or learning a policy in the world model (neural simulator)",,,,unknown,4 days,32 A100 80GB GPUs,,,,,,,2,183,208,4,46,196,302,0,4
GreenBit LLaMA,GreenBit LLaMA is a series of fine-tuned LLaMA models.,,,Evaluated on common LLM benchmarks.,,,,Apache 2.0,,,unknown,https://huggingface.co/GreenBitAI/LLaMA-30B-2bit-groupsize8/discussions,unknown,unknown,unknown,,,,,,,2,66,208,1,62,108,148,2,3
Ocean-1,Ocean-1 is the culmination of Cresta's experience in deploying generative AI systems for large enterprises and signifies their latest milestone in advancing the cutting edge AI technology for customer facing conversations.,,,Outperforms GPT-4 in common sense and reasoning tasks on the basis of both efficiency and accuracy.,,,,unknown,Acting as a contact center chatbot agent.,,unknown,,unknown,unknown,unknown,,,,,,,2,48,175,0,62,186,92,0,4
Aurora-M,"Aurora-M is a 15B parameter multilingual open-source model trained on English, Finnish, Hindi, Japanese, Vietnamese, and code.",,,"Evaluated on all language datasets compared to similarly sized SOTA models, with Aurora-M achieving strong performance in most.",,,,unknown,,,unknown,,unknown,48 days,"LUMI supercomputer, using 128 AMD MI250X GPUs",,,,,,,2,168,299,4,62,47,243,2,4
CodeParrot,CodeParrot is an autoregressive language model trained on code,,,,,,,,,,,,unknown,unknown,16 x A100 (40GB),,,,,,,2,71,38,3,51,63,302,2,4
Zephyr,Zephyr is a series of language models that are trained to act as helpful assistants.,,,"Evaluated on loss, rewards, logps, and logits rejected and chosen.",,,,MIT,Educational and research purposes,,,https://huggingface.co/HuggingFaceH4/zephyr-7b-alpha/discussions,unknown,unknown,unknown,,,,,,,2,71,215,2,62,186,174,2,3
IDEFICS,"IDEFICS is an open-access visual language model, based on Flamingo.",,,Evaluated in comparison to Flamingo and OpenFlamingo on standard benchmarks.,,,,custom,Educational and research purposes,,,https://huggingface.co/HuggingFaceM4/idefics-80b-instruct/discussions,unknown,unknown,unknown,,,,,,,2,71,193,2,28,187,187,2,3
OBELICS,OBELICS is a dataset consisting of 141 million interleaved image-text documents scraped from the web and contains 353 million images.,https://huggingface.co/datasets/HuggingFaceM4/OBELICS,[],Subset of training dataset evaluated for bias using Data Measurements Tool.,,All images for which creators explicitly requested opt-out of AI training.,Sexual and violent content still present in OBELICS even after filtering.,CC-BY-4.0,,,,https://huggingface.co/datasets/HuggingFaceM4/OBELICS/discussions,,,,,,,,,,1,71,193,2,19,25,302,2,4
FinGPT,FinGPT is a series of Finnish LLMs trained from scratch.,,,"Evaluated on in-house benchmark, FIN-bench, adapted from BIG-bench for Finnish.",,,unknown,Apache 2.0,,,unknown,https://huggingface.co/TurkuNLP/gpt3-finnish-13B/discussions,unknown,unknown,"192 nodes, each consisting of 4 AMD Instinct MI250X GPUs, a single 64-core AMD Trento CPU and 512GB of memory.",,,,,,,2,177,229,4,62,39,302,2,3
BLUUMI,BLUUMI is a multilingual fine-tuned version of BLOOM.,,,"Evaluated on in-house benchmark, FIN-bench, adapted from BIG-bench for Finnish.",,,unknown,BigScience RAIL v1.0,,,unknown,https://huggingface.co/TurkuNLP/bloom-finnish-176b/discussions,unknown,unknown,"192 nodes, each consisting of 4 AMD Instinct MI250X GPUs, a single 64-core AMD Trento CPU and 512GB of memory.",,,,,,,2,177,229,4,62,55,18,2,3
Cosmopedia v0.1,"Cosmopedia is a dataset of synthetic textbooks, blogposts, stories, posts, and WikiHow articles generated by Mixtral-8x7B-Instruct-v0.1. The dataset contains over 30 million files and 25 billion tokens, making it the largest open synthetic dataset to date. It covers a variety of topics, mapping worldwide knowledge from Web datasets like RefinedWeb and RedPajama, to generate synthetic content.",https://huggingface.co/datasets/HuggingFaceTB/cosmopedia,[],Some seed samples were used in different prompt styles and audiences. Less than 1% of files are duplicates after running MinHash deduplication. Contaminated samples were removed from each dataset split.,,unknown,Measures were taken to reduce redundancy and ensure diversity in generated content. A decontamination pipeline was implemented to avoid benchmark contamination.,unknown,,unknown,,https://huggingface.co/datasets/HuggingFaceTB/cosmopedia/discussions,,,,,,,,,,1,70,271,3,37,89,175,2,4
Idefics2,"Idefics2 is a general multimodal model that takes as input arbitrary sequences of text and images, generating text responses. It has the capability to describe visual content, answer questions about images, perform basic arithmetic operations, create stories grounded in multiple images, and extract information from documents.",,,The performance of Idefics2 has been evaluated on numerous benchmarks. It is top of its class size and competes with much larger models such as LLava-Next-34B and MM1-30B-chat.,,,"The quality of the model has been ensured by training it on a mixture of openly available datasets and enhancing its OCR capabilities. Further improvements include manipulating images in their native resolutions and aspect ratios, better pre-trained backbones, and allowing for sub-image splitting.",Apache 2.0,"The model can be used for answering questions about images, describing visual content, creating stories grounded in multiple images, extracting information from documents, and performing basic arithmetic operations.",unknown,unknown,https://huggingface.co/HuggingFaceM4/idefics2-8b/discussions,unknown,unknown,unknown,,,,,,,2,70,297,2,28,190,249,2,3
The Cauldron,The Cauldron is an open compilation of 50 manually-curated datasets formatted for multi-turn conversations.,https://huggingface.co/datasets/HuggingFaceM4/the_cauldron,[],,,,unknown,CC BY 4.0,,,unknown,https://huggingface.co/datasets/HuggingFaceM4/the_cauldron/discussions,,,,,,,,,,1,70,297,2,19,140,150,2,4
DeepFloyd IF,A text-to-image cascaded pixel diffusion model released in conjunction with AI research lab DeepFloyd.,,,Evaluated on the COCO dataset.,,,,custom,,,,https://huggingface.co/DeepFloyd/IF-I-XL-v1.0/discussions,,,,,,,,,,2,160,153,0,53,127,134,2,3
StableLM,Large language models trained on up to 1.5 trillion tokens.,,,,,,,Apache 2.0,,,,,,,,,,,,,,2,160,150,1,62,186,242,2,4
Stable Diffusion,Stable Diffusion is a generative software that creates images from text prompts.,,,,,,,custom,,,,https://huggingface.co/CompVis/stable-diffusion/discussions,,,,,image,,,,,0,160,76,0,-1,-1,302,2,4
Stable Diffusion XL,"Stable Diffusion XL is an updated version of Stable Diffusion, and creates descriptive images with shorter prompts and generate words within images.",,,,,,,Open Rail++,,,,,,,,,image,,,,,0,160,182,3,-1,-1,302,2,4
Stable Video Diffusion,Stable Video Diffusion is a latent diffusion model trained to generate short video clips from an image conditioning.,,,Evaluated via a user study comparing preferences between Stable Video Diffusion and competing text-to-video models.,,,,custom,Intended for research purposes only.,Using the model to generate representations of real-world people or events.,,https://huggingface.co/stabilityai/stable-video-diffusion-img2vid-xt/discussions,unknown,unknown,unknown,,,,,,,2,160,238,4,65,198,153,1,3
Large Video Dataset,"Large Video Dataset is the dataset that trained Stable Video Diffusion, consisting of over 212 years of content.",,[],Large Video Dataset compared to publicly available research datasets on general statistics before and after filtering.,,,"Dataset annotated with dense optical flow, and low optical flow videos are removed.",unknown,,,,,,,,,,,,,,1,160,238,4,70,154,270,0,4
Sky Replacer,Sky Replacer is an exciting new tool that allows users to replace the color and aesthetic of the sky in their original photos with a selection of nine alternatives to improve the overall look and feel of the image.,,,,,,,unknown,,,,,,,,,image,https://stability.ai/terms-of-use,,,,0,160,227,3,-1,-1,302,2,4
StableLM 2,"StableLM 2 is a state-of-the-art 1.6 billion parameter small language model trained on multilingual data in English, Spanish, German, Italian, French, Portuguese, and Dutch.",,,Evaluated on standard LLM benchmarks and in multilingual tasks compared to similarly sized open-source models.,,,,custom,The model is intended to be used as a foundational base model for application-specific fine-tuning. Developers must evaluate and fine-tune the model for safe performance in downstream applications.,,unknown,https://huggingface.co/stabilityai/stablelm-2-1_6b/discussions,11 tCO2eq,92k GPU hours,512 NVIDIA A100 40GB GPUs,,,,,,,2,160,254,3,62,9,226,2,3
Stable Cascade,"Stable Cascade is built upon the Würstchen architecture and its main difference to other models, like Stable Diffusion, is that it is working at a much smaller latent space.",,,Evaluated on image generation benchmarks in comparison to equal and smaller-sized models.,,,,custom,The model is intended for research purposes for now.,"The model was not trained to be factual or true representations of people or events, and therefore using the model to generate such content is out-of-scope for the abilities of this model. The model should not be used in any way that violates Stability AI's Acceptable Use Policy.",unknown,https://huggingface.co/stabilityai/stable-cascade/discussions,"2,276 kgCO2eq","24,602 A100 GPU hours",Some number of A100 GPUs,,,,,,,2,160,253,2,53,198,302,2,3
Stable Video 3D,"Stable Video 3D (SV3D) is a generative model based on Stable Video Diffusion that takes in a still image of an object as a conditioning frame, and generates an orbital video of that object.",,,unknown,,,unknown,StabilityAI Non-Commercial Research Community License,This model is intended to be used for generating orbital videos of objects from still images.,"The model should not be used for generating factual or true representations of people or events, or in any way that violates Stability AIs Acceptable Use Policy.",unknown,https://huggingface.co/stabilityai/sv3d/discussions,unknown,unknown,unknown,,,,,,,2,160,284,3,32,198,191,2,3
Stable Audio 2.0,"Stable Audio 2.0 sets a new standard in AI-generated audio, producing high-quality, full tracks with coherent musical structure up to three minutes in length at 44.1kHz stereo.",,,,,,"To protect creator copyrights, for audio uploads, Stability AI partners with Audible Magic to use their content recognition (ACR) technology to power real-time content matching and prevent copyright infringement. Opt-out requests were honored during the training phase.",unknown,"It can be used to generate melodies, backing tracks, stems, and sound effects.",Uploading copyrighted material for transformation.,Advanced content recognition is used to maintain compliance and prevent copyright infringement.,,unknown,unknown,unknown,,,,,,,2,160,293,3,6,198,15,2,4
Reka Flash,"Reka Flash is a multimodal, multilingual, state-of-the-art 21B model trained entirely from scratch.",,,"Evaluated on MMLU, GSM8K, HumanEval, and GPQA benchmarks, among others.",,,,unknown,,,unknown,,unknown,unknown,unknown,,,,,,,2,145,268,3,23,82,302,1,4
Reka Core,"Reka Core is a frontier-class multimodal language model comparable to industry leaders. It has powerful capabilities including multimodal understanding (including images, videos, and audio), superb reasoning abilities, code generation, and multilinguality with proficiency in 32 languages.",,,"Reka Core was evaluated against leading models such as OpenAIs GPT-4, Claude-3 Opus, and Gemini Ultra on a variety of tasks and metrics including multimodal and human evaluation conducted by a third party. It was found to be competitive or even surpassing these models.",,,,unknown,"Reka Core can be used in e-commerce, social media, digital content and video games, healthcare, robotics, and other industries for tasks that require multimodal understanding, coding, complex reasoning, and more.",unknown,unknown,unknown,unknown,few months,thousands of GPUs,,,,,,,2,145,297,3,3,198,302,1,4
FuseChat,FuseChat is a powerful chat Language Learning Model (LLM) that integrates multiple structure and scale-varied chat LLMs using a fuse-then-merge strategy. The fusion is done using two stages,,,"The FuseChat model was evaluated on MT-Bench which comprises 80 multi-turn dialogues spanning writing, roleplay, reasoning, math, coding, stem, and humanities domains. It yields an average performance of 66.52 with specific scores for individual domains available in the leaderboard results.",,,,Apache 2.0,"FuseChat is intended to be used as a powerful chat bot that takes in text inputs and provides text-based responses. It can be utilized in a variety of domains including writing, roleplay, reasoning, math, coding, stem, and humanities.",unknown,unknown,https://huggingface.co/FuseAI/FuseChat-7B-VaRM/discussions,unknown,unknown,unknown,,,,,,,2,61,273,3,62,184,186,2,3
MoMo,MoMo is a large language model fine-tuned from Qwen.,,,unknown,,,unknown,MIT,,,unknown,https://huggingface.co/moreh/MoMo-72B-lora-1.8.7-DPO/discussions,unknown,unknown,AMD’s MI250 GPU,,,,,,,2,103,253,2,62,178,221,2,3
Mistral,Mistral is a compact language model.,,,Evaluated in comparison to LLaMA series models on standard language benchmarks.,,,,Apache 2.0,,,,https://huggingface.co/mistralai/Mistral-7B-v0.1/discussions,unknown,unknown,unknown,,,,,,,2,101,206,3,62,170,302,2,3
Mistral Large,Mistral Large is Mistral AI’s new cutting-edge text generation model.,,,Evaluated on commonly used benchmarks in comparison to the current LLM leaders.,,,,unknown,,,,,unknown,unknown,unknown,,,,,,,2,101,273,3,62,198,302,1,4
Le Chat,Le Chat is a first demonstration of what can be built with Mistral models and what can deployed in the business environment.,,,,,,,unknown,,,,,,,,,,https://mistral.ai/terms/#terms-of-use,unknown,unknown,unknown,0,101,273,3,-1,-1,171,1,4
Reexpress One,"Reexpress One offers a means of document classification, semantic search, and uncertainty analysis on-device.",,,,,,,unknown,,,unknown,https://github.com/ReexpressAI/support,,,,,data analyses,hhttps://re.express/tos.html,unknown,unknown,unknown,0,144,141,3,-1,-1,302,1,4
Dolphin 2.2 Yi,Dolphin 2.2 Yi is an LLM based off Yi.,,,,,,,custom,,,unknown,https://huggingface.co/cognitivecomputations/dolphin-2_2-yi-34b/discussions,unknown,3 days,4 A100 GPUs,,,,,,,2,40,235,3,62,117,63,2,3
WizardLM Uncensored,WizardLM Uncensored is WizardLM trained with a subset of the dataset - responses that contained alignment / moralizing were removed.,,,Evaluated on OpenLLM leaderboard.,,,,unknown,,,unknown,https://huggingface.co/cognitivecomputations/WizardLM-30B-Uncensored/discussions,unknown,unknown,unknown,,,,,,,2,40,168,2,62,108,276,2,3
DuckAssist,The first Instant Answer in DuckDuckGo search results to use natural language technology to generate answers to search queries using Wikipedia and other related sources,,,,,,,unknown,,,,,,,,,,,,,,0,55,133,3,-1,-1,7,2,4
Perplexity Ask,Perplexity Ask is a new search interface that uses advanced artificial intelligence technologies,,,,,,,,,,,,,,,,,,,,,0,135,105,3,-1,-1,88,2,4
Bird SQL,Twitter search interface that is powered by Perplexity's structured search engine.,,,,,,,,,,,,,,,,,,,,,0,135,107,3,-1,-1,214,0,4
Perplexity Chat,Perplexity chat is an AI chatbot trained in-house by Perplexity.,,,,,,,,,,,,,,,,Chatbot output in response to user queries,https://blog.perplexity.ai/legal/terms-of-service,,,,0,135,224,3,-1,-1,302,2,4
Vulture,Vulture is a further fine-tuned causal Decoder-only LLM built by Virtual Interactive (VILM) on top of Falcon.,,,,,,,Apache 2.0,,Production use without adequate assessment of risks and mitigation; any use cases which may be considered irresponsible or harmful.,unknown,https://huggingface.co/vilm/vulture-180b/discussions,unknown,3000 A100 hours,unknown,,,,,,,2,182,210,2,62,58,72,2,3
DeciLM,DeciLM is a LLM that on release ranks as the fastest and most accurate model of its size.,,,"Evaluated on the OpenLLM benchmarks and, on release, outperforms all other 7B models on the OpenLLM Leaderboard.",,,,Apache 2.0,This model is intended for commercial and research use in English and can be fine-tuned for use in other languages.,,unknown,,unknown,unknown,NVIDIA A10 GPUs,,,,,,,2,52,246,0,62,186,302,2,4
